679	Background Vocals,Creatively Sung Vocals,Nonsense Vocals (lead and/or background)	Intro
Somebody	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 1
Somebody	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 1
Somebody	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Bridge 1
Somebody	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 2
Somebody	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 3
Somebody	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 2
Somebody	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 3
Somebody	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 4
Sorry	Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Pitch-Processed Vocal	Intro
Sorry	Background Vocals,Nonsense Vocals (lead and/or background),Pitch-Processed Vocal	Verse 1
Sorry	Creatively Sung Vocals,Nonsense Vocals (lead and/or background),Standout Title Vocal	Pre-Chorus 1
Sorry	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Standout Title Vocal,Pitch-Processed Vocal	Chorus 1
Sorry	Background Vocals,Nonsense Vocals (lead and/or background),Pitch-Processed Vocal	Verse 2
Sorry	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Standout Title Vocal	Pre-Chorus 2
Sorry	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Standout Title Vocal,Pitch-Processed Vocal	Chorus 2
Sorry	Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Pitch-Processed Vocal	Turnaround 1
Stitches	Background Vocals	Pre-Chorus 1
Stitches	Background Vocals,Nonsense Vocals (lead and/or background)	Chorus 1
Stitches	Background Vocals,Repeat/Call and Response Vocals	Bridge 1
Stitches	Background Vocals	Verse 2
Stitches	Background Vocals	Pre-Chorus 2
Stitches	Background Vocals,Nonsense Vocals (lead and/or background)	Chorus 2
Stitches	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 3
Style	Background Vocals,Repeat/Call and Response Vocals	Verse 1
Style	Background Vocals	Pre-Chorus 1
Style	Background Vocals,Repeat/Call and Response Vocals	Chorus 1
Style	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Bridge 1
Style	Background Vocals,Nonsense Vocals (lead and/or background)	Verse 2
Style	Background Vocals	Pre-Chorus 2
Style	Background Vocals,Repeat/Call and Response Vocals	Chorus 2
Style	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 3
Sugar	Nonsense Vocals (lead and/or background)	Intro
Sugar	Background Vocals,Creatively Sung Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 1
Sugar	Background Vocals,Creatively Sung Vocals,Nonsense Vocals (lead and/or background)	Chorus 1
Sugar	Background Vocals,Nonsense Vocals (lead and/or background)	Bridge 1
Sugar	Creatively Sung Vocals,Nonsense Vocals (lead and/or background),Laugh	Outro
Sugar	Background Vocals,Repeat/Call and Response Vocals	Verse 2
Sugar	Background Vocals,Creatively Sung Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 2
Sugar	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 2
Sugar	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 3
Sugar	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 4
The Hills	Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Intro
The Hills	Background Vocals,Creatively Sung Vocals	Verse 1
The Hills	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Scream	Chorus 1
The Hills	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals	Bridge 1
The Hills	Background Vocals,Repeat/Call and Response Vocals,Scream	Chorus 2
The Hills	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 3
Thinking Out Loud	Nonsense Vocals (lead and/or background)	Inst. Break 1
Thinking Out Loud	Background Vocals,Creatively Sung Vocals	Verse 2
Thinking Out Loud	Background Vocals,Creatively Sung Vocals	Pre-Chorus 2
Thinking Out Loud	Background Vocals,Creatively Sung Vocals,Nonsense Vocals (lead and/or background),Standout Title Vocal	Chorus 2
Thinking Out Loud	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Standout Title Vocal	Chorus 3
Timber	Background Vocals	Intro
Timber	Background Vocals,Nonsense Vocals (lead and/or background)	Verse 1
Timber	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 1
Timber	Background Vocals	Chorus 1
Timber	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Vocal Break 1
Timber	Background Vocals	Verse 2
Timber	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 2
Timber	Background Vocals,Repeat/Call and Response Vocals	Chorus 2
Timber	Background Vocals,Repeat/Call and Response Vocals	Chorus 3
Timber	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Vocal Break 2
Timber	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Vocal Break 3
Time Of Our Lives	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals	Verse 1
Time Of Our Lives	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 1
Time Of Our Lives	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Bridge 1
Time Of Our Lives	Background Vocals,Creatively Sung Vocals	Verse 2
Time Of Our Lives	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 2
Time Of Our Lives	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 3
Time Of Our Lives	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 4
Uptown Funk!	Nonsense Vocals (lead and/or background),Scream	Intro
Uptown Funk!	Background Vocals	Verse 1
Uptown Funk!	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 1
Uptown Funk!	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Scream	Chorus 1
Uptown Funk!	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Bridge 1
Uptown Funk!	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Scream	Outro
Uptown Funk!	Background Vocals	Verse 2
Uptown Funk!	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 2
Uptown Funk!	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Scream	Chorus 2
Uptown Funk!	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Scream	Chorus 3
Want To Want Me	Background Vocals,Nonsense Vocals (lead and/or background)	Verse 1
Want To Want Me	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Pitch-Processed Vocal	Chorus 1
Want To Want Me	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Verse 2
Want To Want Me	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Pitch-Processed Vocal	Chorus 2
Want To Want Me	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 3
Watch Me	Background Vocals,Repeat/Call and Response Vocals	Intro
Watch Me	Background Vocals,Repeat/Call and Response Vocals	Verse 1
Watch Me	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 1
Watch Me	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 1
Watch Me	Background Vocals,Repeat/Call and Response Vocals	Verse 2
Watch Me	Background Vocals,Repeat/Call and Response Vocals	Verse 3
Watch Me	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Verse 4
Watch Me	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 2
Watch Me	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 2
Watch Me	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 3
Where Are U Now	Background Vocals,Repeat/Call and Response Vocals,Standout Title Vocal,Pitch-Processed Vocal	Verse 1
Where Are U Now	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Pitch-Processed Vocal	Inst. Break 1
Where Are U Now	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Pitch-Processed Vocal	Verse 2
Wiggle	Background Vocals,Laugh	Intro
Wiggle	Background Vocals	Verse 1
Wiggle	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 1
Wiggle	Background Vocals,Nonsense Vocals (lead and/or background)	Bridge 1
Wiggle	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Outro
Wiggle	Background Vocals	Verse 2
Wiggle	Background Vocals,Creatively Sung Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 2
Wiggle	Background Vocals,Creatively Sung Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 3
Wiggle	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 2
Wiggle	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 3
Wiggle	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 4
Wiggle	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Bridge 2
Wildest Dreams	Background Vocals,Creatively Sung Vocals	Pre-Chorus 1
Wildest Dreams	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Standout Title Vocal	Chorus 1
Wildest Dreams	Background Vocals,Repeat/Call and Response Vocals	Bridge 1
Wildest Dreams	Background Vocals	Verse 2
Wildest Dreams	Background Vocals,Creatively Sung Vocals	Pre-Chorus 2
Wildest Dreams	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Standout Title Vocal	Chorus 2
Wildest Dreams	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Standout Title Vocal	Chorus 3
Wrecking Ball	Background Vocals	Pre-Chorus 1
Wrecking Ball	Background Vocals,Nonsense Vocals (lead and/or background)	Verse 2
Wrecking Ball	Background Vocals	Pre-Chorus 2
Wrecking Ball	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 3
Can't Feel My Face	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 1
Can't Feel My Face	Creatively Sung Vocals,Nonsense Vocals (lead and/or background)	Outro
Can't Feel My Face	Creatively Sung Vocals,Nonsense Vocals (lead and/or background)	Vocal Break 1
Can't Feel My Face	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Verse 2
Can't Feel My Face	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 2
Can't Feel My Face	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Pitch-Processed Vocal	Pre-Chorus 3
Can't Feel My Face	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 2
Can't Feel My Face	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 3
Hello	Background Vocals,Creatively Sung Vocals	Pre-Chorus 1
Hello	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals	Chorus 1
Hello	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Vocal Break 1
Hello	Background Vocals	Pre-Chorus 2
Hello	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals	Chorus 2
Hello	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals	Chorus 3
Same Old Love	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 1
Same Old Love	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Pitch-Processed Vocal	Bridge 1
Same Old Love	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 2
Same Old Love	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 3
What Do You Mean	Background Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 1
What Do You Mean	Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 1
What Do You Mean	Background Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 2
What Do You Mean	Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 2
What Do You Mean	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 3
Cake By The Ocean	Background Vocals,Nonsense Vocals (lead and/or background)	Intro
Cake By The Ocean	Nonsense Vocals (lead and/or background)	Verse 1
Cake By The Ocean	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 1
Cake By The Ocean	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 1
Cake By The Ocean	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Outro
Cake By The Ocean	Nonsense Vocals (lead and/or background)	Vocal Break 1
Cake By The Ocean	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Verse 2
Cake By The Ocean	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 2
Cake By The Ocean	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Scream	Chorus 2
Cake By The Ocean	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 3
Cake By The Ocean	Nonsense Vocals (lead and/or background)	Turnaround 1
Cake By The Ocean	Background Vocals,Nonsense Vocals (lead and/or background),Laugh	Turnaround 2
Me, Myself & I	Background Vocals,Nonsense Vocals (lead and/or background)	Verse 1
Me, Myself & I	Background Vocals,Nonsense Vocals (lead and/or background)	Chorus 1
Me, Myself & I	Background Vocals,Nonsense Vocals (lead and/or background)	Vocal Break 1
Me, Myself & I	Background Vocals,Nonsense Vocals (lead and/or background)	Verse 2
Me, Myself & I	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 2
Me, Myself & I	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 3
Me, Myself & I	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 4
Me, Myself & I	Background Vocals,Nonsense Vocals (lead and/or background)	Vocal Break 2
My House	Background Vocals	Verse 1
My House	Background Vocals,Repeat/Call and Response Vocals	Pre-Chorus 1
My House	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 1
My House	Background Vocals	Bridge 1
My House	Background Vocals	Verse 2
My House	Background Vocals,Repeat/Call and Response Vocals	Pre-Chorus 2
My House	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 2
My House	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 3
Work	Creatively Sung Vocals,Nonsense Vocals (lead and/or background),Pitch-Processed Vocal	Pre-Chorus 1
Work	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Bridge 1
Work	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Standout Title Vocal,Pitch-Processed Vocal	Outro
Work	Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Verse 2
Work	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Standout Title Vocal	Chorus 3
Work	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Standout Title Vocal	Chorus 4
Pillowtalk	Background Vocals,Nonsense Vocals (lead and/or background),Pitch-Processed Vocal	Intro
Pillowtalk	Background Vocals,Nonsense Vocals (lead and/or background)	Verse 1
Pillowtalk	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 1
Pillowtalk	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 1
Pillowtalk	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Vocal Break 1
Pillowtalk	Background Vocals,Nonsense Vocals (lead and/or background)	Verse 2
Pillowtalk	Background Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 2
Pillowtalk	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 2
Pillowtalk	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 3
Pillowtalk	Background Vocals,Nonsense Vocals (lead and/or background),Pitch-Processed Vocal	Turnaround 1
Roses	Background Vocals	Pre-Chorus 1
Roses	Background Vocals,Nonsense Vocals (lead and/or background)	Inst. Break 1
Roses	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Vocal Break 1
Roses	Background Vocals,Repeat/Call and Response Vocals	Chorus 2
Roses	Nonsense Vocals (lead and/or background)	Inst. Break 2
Roses	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Vocal Break 2
Summer Sixteen	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Verse 2
Stressed Out	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 1
Stressed Out	Background Vocals,Nonsense Vocals (lead and/or background),Pitch-Processed Vocal	Bridge 1
Stressed Out	Background Vocals,Nonsense Vocals (lead and/or background),Pitch-Processed Vocal	Outro
Stressed Out	Background Vocals,Nonsense Vocals (lead and/or background)	Chorus 2
Stressed Out	Background Vocals,Nonsense Vocals (lead and/or background)	Chorus 3
Piece By Piece	Background Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 1
Piece By Piece	Background Vocals,Nonsense Vocals (lead and/or background)	Chorus 1
Piece By Piece	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Outro
Piece By Piece	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Vocal Break 1
Piece By Piece	Background Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 2
Piece By Piece	Background Vocals,Nonsense Vocals (lead and/or background)	Chorus 2
Piece By Piece	Background Vocals,Creatively Sung Vocals	Chorus 3
Formation	Background Vocals,Nonsense Vocals (lead and/or background)	Verse 1
Don't Let Me Down	Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Bridge 1
Don't Let Me Down	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Inst. Break 1
Don't Let Me Down	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Inst. Break 2
This Is What You Came For	Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Vocal Break 1
This Is What You Came For	Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Vocal Break 2
This Is What You Came For	Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Vocal Break 3
This Is What You Came For	Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Vocal Break 4
Checkbox Test Song 5-9-16	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Intro
Checkbox Test Song 5-9-16	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Verse 1
Checkbox Test Song 5-9-16	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 1
Checkbox Test Song 5-9-16	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 1
Checkbox Test Song 5-9-16	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Standout Title Vocal,Laugh,Scream,Narration,Pitch-Processed Vocal	Bridge 1
Checkbox Test Song 5-9-16	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Standout Title Vocal,Laugh,Scream,Narration,Pitch-Processed Vocal	Inst. Break 1
Checkbox Test Song 5-9-16	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Vocal Break 1
Checkbox Test Song 5-9-16	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Standout Title Vocal,Laugh,Scream,Narration,Pitch-Processed Vocal	Turnaround 1
Test 2 5-10-16	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Vocal Break 1
Can't Stop The Feeling	Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Intro
Can't Stop The Feeling	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 1
Can't Stop The Feeling	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Standout Title Vocal	Chorus 1
Can't Stop The Feeling	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Standout Title Vocal	Outro
Can't Stop The Feeling	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Inst. Break 1
Can't Stop The Feeling	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals	Verse 2
Can't Stop The Feeling	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 2
Can't Stop The Feeling	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Standout Title Vocal	Chorus 2
Can't Stop The Feeling	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Standout Title Vocal	Chorus 3
Needed Me	Background Vocals,Repeat/Call and Response Vocals	Verse 1
Needed Me	Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Standout Title Vocal	Chorus 1
Needed Me	Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Outro
Needed Me	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 2
Needed Me	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Standout Title Vocal	Chorus 2
Just Like Fire	Creatively Sung Vocals,Nonsense Vocals (lead and/or background)	Intro
Just Like Fire	Background Vocals,Creatively Sung Vocals,Nonsense Vocals (lead and/or background)	Verse 1
Just Like Fire	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 1
Just Like Fire	Background Vocals,Creatively Sung Vocals,Nonsense Vocals (lead and/or background)	Chorus 1
Just Like Fire	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals	Bridge 1
Just Like Fire	Background Vocals,Creatively Sung Vocals,Nonsense Vocals (lead and/or background)	Verse 2
Just Like Fire	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 2
Just Like Fire	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 2
Just Like Fire	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 3
Just Like Fire	Nonsense Vocals (lead and/or background)	Turnaround 1
