First Name,Middle Name,Last Name,Stage Name,Date of Birth (mm/dd/yyyy),City,Country,Wikipedia URL,Artist's Ste URL
Will,,Adams,will.i.am,3/15/75,Los Angeles,United States,https://en.wikipedia.org/wiki/Will.i.am,http://will.i.am/
Christina,Maria,Aguilera,Christina Aguilera,12/18/80,New York,United States,https://en.wikipedia.org/wiki/Christina_Aguilera,http://www.christinaaguilera.com/
Majid,Hani,Al-Maskati,,,,,,
Steve,Angello Josefsson,Fragogiannis  ,Steve Angello,11/22/82,Athens,Greece,https://en.wikipedia.org/wiki/Steve_Angello,http://www.steveangello.com/
Matthew,,Bair,Matthew Koma,6/2/87,Brooklyn,United States,https://en.wikipedia.org/wiki/Matthew_Koma,http://matthewkoma.com/
Thomas,,Bangalter,Thomas Bangalter,1/3/75, Paris,France,https://en.wikipedia.org/wiki/Thomas_Bangalter,
Thibaut,Michel Jean Marie,Berland,Breakbot,10/5/81,,France,https://en.wikipedia.org/wiki/Breakbot,
Jeff,,Bhasker,Billy Kraven,,Kansas City,United States,https://en.wikipedia.org/wiki/Jeff_Bhasker,
Dania,Maria,Birks,,,,,,
Paul,Edward,Blair,,,,,,
Nicholas,Andrew Guy,Boundy,,,,,,
Phredley,,Brown,,,,,,
Vincent,E,Brown,,,,,,
Juana,Michelle,Burns,,,,,,
Michael,James Ryan,Busbee,Busbee,,,,https://en.wikipedia.org/wiki/Busbee,www.busbeemusic.com
Alvin,Pleasant Delaney,Carter,A. P. Carter,12/15/1891,Maces Spring,United States,https://en.wikipedia.org/wiki/A._P._Carter,
Dwayne,Michael,Carter Jr.,Lil Wayne,9/27/82,New Orleans,United States,https://en.wikipedia.org/wiki/Lil_Wayne,
James,W,Castor,Jimmy Castor,6/23/40,Manhattan,United States,https://en.wikipedia.org/wiki/Jimmy_Castor,
Kurt,Donald,Cobain,Kurt Cobain,2/20/67,Aberdeen,United States,https://en.wikipedia.org/wiki/Kurt_Cobain,
William,Michael,Coleman,Mike Zombie,7/8/92,Willingboro,United States,https://en.wikipedia.org/wiki/Mike_Zombie,
Anthony,,Criss ,Treach,12/2/70,East Orange,United States,https://en.wikipedia.org/wiki/Treach,www.naughtybynature.com
Scott,Michael,Cutler,Scott Cutler,,Chicago,United States,https://en.wikipedia.org/wiki/Scott_Cutler,
Douglas,L,Davis,,,,,,
Guillaume,Emmanuel,de Homem-Christo,Guy-Manuel de Homem-Christo,2/8/74, Paris,France,https://en.wikipedia.org/wiki/Guy-Manuel_de_Homem-Christo,
Matthew,,Delgiorno,,,,,,
Sean,,Douglas,Sean Douglas,5/27/83,Los Angeles,https://en.wikipedia.org/wiki/Sean_Douglas_(songwriter),,
Edward,James,Drewett,Ed Drewett,4/1/88,Essex,United Kingdom,https://en.wikipedia.org/wiki/Ed_Drewett,http://www.eddrewett.co.uk/
John,Stephen,Sudduth,Mikky Ekko,12/17/84,Shreveport,United States,https://en.wikipedia.org/wiki/Mikky_Ekko,www.mikkyekko.com
Linus,,Eklsw,Style of Eye,8/29/79,Stockholm,Sweden,https://en.wikipedia.org/wiki/Style_of_Eye,styleofeye.se
James,Edward,Fauntleroy II,James Fauntleroy,5/16/84,Inglewood,United States,https://en.wikipedia.org/wiki/James_Fauntleroy,
Jeremy,Caleb,Fraites,,,,,,
Langdon,,Fridie,,,,,,
Magne,,Furuholmen,Mags,11/1/62,Oslo,Norway,https://en.wikipedia.org/wiki/Magne_Furuholmen,magnef.org
Stephen,Ellis,Garrett,Static Major,11/11/74,Louisville,United States,https://en.wikipedia.org/wiki/Static_Major,
Stefani,Joanne Angelina ,Germanotta,Lady Gaga,3/28/86,Manhattan,United States,https://en.wikipedia.org/wiki/Lady_Gaga,
Luisa,,Gerstein,,,,,,
Keir,Lamont,Gist,,,,,,
Christopher ,L,Godbey,,,,,,
Alexander,,Grant,Alex da Kid,8/27/82,Bristol,United Kingdom,https://en.wikipedia.org/wiki/Alex_da_Kid,
David,Eric,Grohl,Dave Grohl,1/14/69,Warren,United States,https://en.wikipedia.org/wiki/Dave_Grohl,
Stephen,,Hacker,,,,,,
Holly,Brook ,Hafermann ,Skylar Grey,2/23/86,Mazomanie,United States,https://en.wikipedia.org/wiki/Skylar_Grey,www.skylargreymusic.com
Ben,,Haggerty,Macklemore,6/19/83,Seattle,United States,https://en.wikipedia.org/wiki/Macklemore,macklemore.com
Morten,,Harket,Morten Harket,9/14/59,Kongsberg,Norway,https://en.wikipedia.org/wiki/Morten_Harket,
Jerome,,Harmon,J-Roc,,Fort Worth,United States,https://en.wikipedia.org/wiki/J-Roc_(record_producer),www.jeromeharmonproductions.com
Cornell,Iral ,"Haynes, Jr.",Nelly,11/2/74,Austin,United States,https://en.wikipedia.org/wiki/Nelly,Nelly.net
Wayne,,Hector,Wayne Hector,,,,https://en.wikipedia.org/wiki/Wayne_Hector,
Axel,Christofer,Hedfors,Axwell,12/18/77,Lund,Sweden,https://en.wikipedia.org/wiki/Axwell,axwell.co.uk
Asheton,Terrence O'Niel,Hogan,,,,,,
Greg,David,Holden,Greg Holden,,Aberdeen,United Kingdom,https://en.wikipedia.org/wiki/Greg_Holden,www.gregholdenonline.com
Adam,Keefe,Horovitz,Ad-Rock,10/31/66,New York City,United States,https://en.wikipedia.org/wiki/Ad-Rock,www.beastieboys.com
Tyler,Reed,Hubbard,Tyler Hubbard,1/31/87,Monroe,United States,https://en.wikipedia.org/wiki/Tyler_Hubbard,floridageorgialine.com
Jeffrey,B,Hull,,,,,,
Thomas,Edward Percy,Hull,Kid Harpoon,4/20/82,Kent,United Kingdom,https://en.wikipedia.org/wiki/Kid_Harpoon,
Kurt,Michael,Hunter,,,,,,
Sebastian,Carmine,Ingrosso,Sebastian Ingrosso,4/20/83,Nacka,Sweden,https://en.wikipedia.org/wiki/Sebastian_Ingrosso,
Park,,Jai-Sang,Psy,12/31/77,Seoul,South Korea,https://en.wikipedia.org/wiki/Psy,www.psypark.com
Harry,V,Jensen,,,,,,
Raphael,David,Judrin,,,,,,
Brian,Edward,Kelley,Brian Kelley,8/26/85,Ormond Beach,United States,https://en.wikipedia.org/wiki/Brian_Kelley_(musician),
Christopher,Irfane,Khan-Acito,,,,,,
Jean,Baptiste,Kouame,Jean-Baptiste,,,,https://en.wikipedia.org/wiki/Jean-Baptiste_(songwriter),
Chantal,Jennifer,Kreviazuk,Chantal Kreviazuk,5/18/74,Winnipeg,Canada,https://en.wikipedia.org/wiki/Chantal_Kreviazuk,chantalkreviazuk.com
Al,Sherrod,Lambert,,,,,,
Elizabeth,Woolridge,Grant,Lana Del Rey,6/21/85,New York City,United States,https://en.wikipedia.org/wiki/Lana_Del_Rey,lanadelrey.com
Philip,,Lawrence,,,,,,
Juanita,A,Lee,,,,,,
Ari,,Levine,,,,,,
Ryan,,Lewis,Ryan Lewis,3/25/88,Spokane,United States,https://en.wikipedia.org/wiki/Ryan_Lewis,macklemore.com
John,Martin,Lindstrom,John Martin,8/22/80,Stockholm,United States,https://en.wikipedia.org/wiki/John_Martin_(singer),JohnMartinOfficial.com
Christian,,Lochstoer,,,,,,
Demetria,Devonne,Lovato,Demi Lovato,8/20/92,Los Angeles,United States,https://en.wikipedia.org/wiki/Demi_Lovato,demilovato.com
Robert,,Manigault,,,,,,
Jef,,Martens,Basto,1/8/75,Hoogstraten,Belgium,https://en.wikipedia.org/wiki/Basto,basto-music.com
Malcolm,James,McCormick,Mac Miller,1/19/92,Pittsburgh,United States,https://en.wikipedia.org/wiki/Mac_Miller,www.macmillerofficial.com
Pierre-Antoine,Joseph Michel,Melki,,,,,,
Ryan,Takacs,Merchant,,,,,,
Adam,David,Messinger,Adam Messinger,,Toronto,Canada,https://en.wikipedia.org/wiki/Adam_Messinger,
Joseph,,Modeliste,Ziggy,12/28/48,New Orleans,United States,https://en.wikipedia.org/wiki/Ziggy_Modeliste,www.zigaboo.com
Joey,,Moi,Joey Moi,,Whitehorse,Canada,https://en.wikipedia.org/wiki/Joey_Moi,
Garland,Waverly,Mosley Jr.,,,,,,
Joshua ,Francis,Mosser,,,,,,
Nathaniel,,Motte,Nathaniel Motte,1/13/84,Lincoln,United States,https://en.wikipedia.org/wiki/Nathaniel_Motte,www.3oh3music.com
Jayson,Scott,Musson,Jayson Musson,,,,https://en.wikipedia.org/wiki/Jayson_Musson,
Terius,Youngdell,Nash,The-Dream,9/20/77,Rockingham,United States,https://en.wikipedia.org/wiki/The-Dream,the-dreammusic.com
Kim,R,Nazel,,,,,,
Arthur,,Neville,Art Neville,12/17/37,New Orleans,United States,https://en.wikipedia.org/wiki/Art_Neville,
Cyril,Garrett,Neville,Cyril Neville,10/10/48,New Orleans,United States,https://en.wikipedia.org/wiki/Cyril_Neville,
Krist,Anthony,Novoselic,Krist Novoselic,5/16/65,Compton,United States,https://en.wikipedia.org/wiki/Krist_Novoselic,
Rick,,Nowels,Rick Nowels,,San Francisco,United States,https://en.wikipedia.org/wiki/Rick_Nowels,ricknowels.com
Justin,,Parker,Justin Parker,,Lincoln,United Kingdom,https://en.wikipedia.org/wiki/Justin_Parker,
Drew,,Pearson,Drew Pearson,,Wadsworth,United States,https://en.wikipedia.org/wiki/Drew_Pearson_(songwriter),pulserecordings.com/clients/drew-pearson
Aaron,,Phillips,,,,,,
Chase,,Rice,Chase Rice,9/19/85,Asheville,United States,https://en.wikipedia.org/wiki/Chase_Rice,
Jesse,Kenneth Robert,Rice,,,,,,
Porter,Weston,Robinson,Porter Robinson,7/15/92,Atlanta,United States,https://en.wikipedia.org/wiki/Porter_Robinson,porterrobinson.com
Nile,Gregory,Rodgers,Nile Rodgers,9/19/52,New York,United States,https://en.wikipedia.org/wiki/Nile_Rodgers,
Harry,Bauer,Rodrigues,Baauer,4/30/89,Philadelphia,United States,https://en.wikipedia.org/wiki/Baauer,baauer.com
Frederick,Jay ,Rubin,Rick Rubin,3/10/63,Long Beach,United States,https://en.wikipedia.org/wiki/Rick_Rubin,
Nathaniel,Joseph,Ruess,Nate Ruess,2/26/82,Iowa City,United States,https://en.wikipedia.org/wiki/Nate_Ruess,http://nateruess.com/
Brenda,,Russell,Brenda Russell,4/8/49,Brooklyn,United States,https://en.wikipedia.org/wiki/Brenda_Russell,
Harmony,David,Samuels,Harmony Samuels,5/16/80,London,United Kingdom,https://en.wikipedia.org/wiki/Harmony_Samuels,
Wesley,Keith,Schultz,Wesley Schultz,12/30/82,Ramsey,United States,https://en.wikipedia.org/wiki/Wesley_Schultz,http://www.thelumineers.com
Fatimah ,,Shaheed,,,,,,
Sebu,,Simonian,Sebu Simonian,,Aleppo,Syria,https://en.wikipedia.org/wiki/Sebu_Simonian,
Pierre,Ramon,Slaughter,,,,,,
Jordin,Brianna,Sparks,Jordin Sparks,12/22/89,Phoenix,United States,https://en.wikipedia.org/wiki/Jordin_Sparks,jordinsparks.com
William,Haislip,Squier,Billy Squier,Wellesley,Massachusetts,United States,https://en.wikipedia.org/wiki/Billy_Squier,
Charles,,Still,,,,,,
Amber,Denise,Streeter,Sevyn Streeter,7/7/86,Haines City,United States,https://en.wikipedia.org/wiki/Sevyn_Streeter,sevynstreeter.com
Terry,Duane,Stubbs,,,,,,
Robin,Charles,Thicke,Robin Thicke,3/10/77,Los Angeles,United States,https://en.wikipedia.org/wiki/Robin_Thicke,robinthicke.com
Gerald,Elliot,Thomas,,,,,,
Heloise,Maud,Tunstall-Behrens,,,,,,
Jordan,,Ullman,,,,,,
Urales,,Vargas,DJ Buddha,3/15/80,,United States,https://en.wikipedia.org/wiki/DJ_Buddha,
Pal, Waaktaar,Gamst,Paul Waaktaar-Savoy,9/6/61,Oslo,Norway,https://en.wikipedia.org/wiki/Paul_Waaktaar-Savoy,
Ricky,M.L.,Walters,Slick Rick,1/14/65,London,United Kingdom,https://en.wikipedia.org/wiki/Slick_Rick,
Florence,Leontine Mary,Welch,,8/28/86,London,United Kingdom,https://en.wikipedia.org/wiki/Florence_Welch,
John,Eugene,Wesley,,,,,,
Benjamin,,West,Ben West,,Detroit,United States,https://en.wikipedia.org/wiki/Ben_West_(musician),
Nicole,,Williams,,,,,,
Michael,Len,Williams II,Mike Will Made It,3/23/89,Marietta,United States,https://en.wikipedia.org/wiki/Mike_Will_Made_It,http://mikewillmade.it/
Ernest,Dion,Wilson,No ID,,Chicago,United States,https://en.wikipedia.org/wiki/No_I.D.,
John,F,Wilson,,,,,,
Andrew,Wyatt,Blakemore,Andrew Wyatt,,New York City,United States,https://en.wikipedia.org/wiki/Andrew_Wyatt,
Adam,Nathaniel,Yauch,MCA,,New York City,United States,https://en.wikipedia.org/wiki/Adam_Yauch,
Bard,Urheim,Ylvisaker,,,,,,
Vegard,Urheim,Ylvisaker,,,,,,
Keon,Hyung,Yoo,,,,,,
Bigram,John,Zayas,DVLP,7/11/78,New York City,United States,https://en.wikipedia.org/wiki/DVLP,
Dino,,Zisis,Speedlove,,,,,
Michael,Henry Allan,Zitron,Michel Zitron,,,Sweden,https://en.wikipedia.org/wiki/Michel_Zitron,