Song Name,Date,Position
Applause,8/31/13,6
Applause,9/7/13,4
Applause,9/14/13,6
Applause,9/21/13,7
Applause,9/28/13,7
Applause,10/5/13,8
Applause,10/12/13,9
Applause,10/19/13,9
Applause,10/26/13,8
Applause,11/2/13,9
Applause,11/9/13,7
Applause,11/16/13,10
Applause,11/23/13,10
Applause,11/30/13,9
Beauty & A Beat,1/12/13,5
Beauty & A Beat,2/9/13,7
Beauty & A Beat,2/16/13,7
Beauty & A Beat,1/5/13,5
Beauty & A Beat,1/19/13,7
Beauty & A Beat,1/26/13,8
Beauty & A Beat,2/2/13,9
Beauty & A Beat,2/23/13,10
Berzerk,9/14/13,3
Berzerk,9/21/13,10
Berzerk,9/28/13,8
Best Song Ever,8/10/13,2
Blurred Lines,6/15/13,6
Blurred Lines,6/22/13,1
Blurred Lines,6/29/13,1
Blurred Lines,7/6/13,1
Blurred Lines,7/13/13,1
Blurred Lines,7/20/13,1
Blurred Lines,7/27/13,1
Blurred Lines,8/3/13,1
Blurred Lines,8/10/13,1
Blurred Lines,8/17/13,1
Blurred Lines,8/24/13,1
Blurred Lines,8/31/13,1
Blurred Lines,9/7/13,1
Blurred Lines,9/14/13,2
Blurred Lines,9/21/13,2
Blurred Lines,9/28/13,4
Blurred Lines,10/5/13,5
Blurred Lines,10/12/13,7
Blurred Lines,10/19/13,8
Blurred Lines,10/26/13,9
Blurred Lines,11/2/13,10
Can't Hold Us,4/20/13,7
Can't Hold Us,4/27/13,5
Can't Hold Us,5/4/13,2
Can't Hold Us,5/11/13,2
Can't Hold Us,5/18/13,1
Can't Hold Us,5/25/13,1
Can't Hold Us,6/1/13,1
Can't Hold Us,6/8/13,1
Can't Hold Us,6/15/13,1
Can't Hold Us,6/22/13,2
Can't Hold Us,6/29/13,3
Can't Hold Us,7/6/13,6
Can't Hold Us,7/13/13,5
Can't Hold Us,7/20/13,6
Can't Hold Us,7/27/13,5
Can't Hold Us,8/3/13,6
Can't Hold Us,8/10/13,9
Clarity,8/17/13,8
Clarity,8/24/13,8
Come & Get It,5/25/13,6
Come & Get It,6/1/13,7
Come & Get It,6/8/13,6
Come & Get It,6/15/13,7
Come & Get It,6/22/13,8
Come & Get It,6/29/13,8
Come & Get It,7/6/13,9
Come & Get It,7/13/13,9
Come & Get It,7/20/13,9
Counting Stars,11/9/13,8
Counting Stars,11/16/13,9
Counting Stars,11/23/13,7
Counting Stars,11/30/13,6
Counting Stars,12/7/13,4
Counting Stars,12/14/13,5
Counting Stars,12/21/13,3
Counting Stars,12/28/13,3
Cruise,4/20/13,8
Cruise,5/18/13,9
Cruise,5/25/13,10
Cruise,6/1/13,6
Cruise,6/8/13,5
Cruise,6/15/13,5
Cruise,6/22/13,5
Cruise,6/29/13,6
Cruise,7/6/13,4
Cruise,7/13/13,6
Cruise,7/20/13,5
Cruise,7/27/13,6
Cruise,8/3/13,7
Cruise,8/10/13,10
Cups (Pitch Perfect's When I'm Gone),7/20/13,10
Cups (Pitch Perfect's When I'm Gone),7/27/13,10
Cups (Pitch Perfect's When I'm Gone),8/3/13,9
Cups (Pitch Perfect's When I'm Gone),8/10/13,8
Cups (Pitch Perfect's When I'm Gone),8/17/13,6
Cups (Pitch Perfect's When I'm Gone),8/24/13,6
Cups (Pitch Perfect's When I'm Gone),8/31/13,9
Daylight,2/23/13,7
Demons,11/9/13,9
Demons,11/16/13,8
Demons,11/23/13,9
Demons,11/30/13,7
Demons,12/7/13,6
Demons,12/14/13,7
Demons,12/21/13,7
Demons,12/28/13,6
Diamonds,1/5/13,2
Diamonds,1/12/13,3
Diamonds,1/19/13,2
Diamonds,1/26/13,5
Diamonds,2/2/13,8
Diamonds,2/9/13,8
Die Young,1/5/13,6
Die Young,1/12/13,7
Don't You Worry Child,1/26/13,7
Don't You Worry Child,2/2/13,7
Don't You Worry Child,2/9/13,6
Don't You Worry Child,2/16/13,6
Don't You Worry Child,2/23/13,6
Don't You Worry Child,3/16/13,10
Dope,11/23/13,8
F**kin' Problems,2/9/13,10
F**kin' Problems,2/16/13,8
Feel This Moment,4/6/13,8
Feel This Moment,4/13/13,9
Feel This Moment,4/20/13,10
Feel This Moment,4/27/13,8
Feel This Moment,5/4/13,9
Feel This Moment,5/11/13,8
Feel This Moment,5/18/13,10
Gangam Style,1/12/13,6
Gentleman,5/4/13,5
Get Lucky,6/1/13,10
Get Lucky,6/8/13,4
Get Lucky,6/15/13,3
Get Lucky,6/22/13,3
Get Lucky,6/29/13,2
Get Lucky,7/6/13,2
Get Lucky,7/13/13,2
Get Lucky,7/20/13,2
Get Lucky,7/27/13,2
Get Lucky,8/3/13,4
Get Lucky,8/10/13,5
Get Lucky,8/17/13,4
Get Lucky,8/24/13,4
Get Lucky,8/31/13,7
Get Lucky,9/7/13,10
Harlem Shake,3/2/13,1
Harlem Shake,3/9/13,1
Harlem Shake,3/16/13,1
Harlem Shake,3/23/13,1
Harlem Shake,3/30/13,1
Harlem Shake,4/6/13,2
Harlem Shake,4/13/13,4
Harlem Shake,4/20/13,6
Heart Attack,4/27/13,10
Ho Hey,1/5/13,3
Ho Hey,1/12/13,4
Ho Hey,1/19/13,4
Ho Hey,1/26/13,3
Ho Hey,2/2/13,3
Ho Hey,2/9/13,3
Ho Hey,2/16/13,4
Ho Hey,2/23/13,4
Ho Hey,3/2/13,6
"Hold On, We're Going Home",9/21/13,8
"Hold On, We're Going Home",9/28/13,9
"Hold On, We're Going Home",10/5/13,7
"Hold On, We're Going Home",10/12/13,4
"Hold On, We're Going Home",10/19/13,5
"Hold On, We're Going Home",10/26/13,5
"Hold On, We're Going Home",11/2/13,5
"Hold On, We're Going Home",11/9/13,5
"Hold On, We're Going Home",11/16/13,7
"Hold On, We're Going Home",11/23/13,6
"Hold On, We're Going Home",11/30/13,8
"Hold On, We're Going Home",12/7/13,9
"Hold On, We're Going Home",12/21/13,10
Holy Grail,7/27/13,8
Holy Grail,8/3/13,8
Holy Grail,8/10/13,7
Holy Grail,8/17/13,5
Holy Grail,8/24/13,5
Holy Grail,8/31/13,5
Holy Grail,9/7/13,6
Holy Grail,9/14/13,5
Holy Grail,9/21/13,4
Holy Grail,9/28/13,6
Holy Grail,10/5/13,6
Holy Grail,10/12/13,6
Holy Grail,10/19/13,7
Holy Grail,10/26/13,7
Holy Grail,11/2/13,8
Holy Grail,11/9/13,6
Home,1/5/13,9
Home,1/12/13,9
Home,1/19/13,6
Home,1/26/13,9
Home,2/2/13,10
Home,2/9/13,9
I Cry,1/5/13,8
I Cry,1/19/13,10
I Cry,1/26/13,10
I Knew You Were Trouble,1/5/13,4
I Knew You Were Trouble,1/12/13,2
I Knew You Were Trouble,1/19/13,3
I Knew You Were Trouble,1/26/13,4
I Knew You Were Trouble,2/2/13,5
I Knew You Were Trouble,2/9/13,4
I Knew You Were Trouble,2/16/13,5
I Knew You Were Trouble,2/23/13,5
I knew You Were Trouble,3/2/13,5
I Knew You Were Trouble,3/9/13,4
I Knew You Were Trouble,3/16/13,4
I Knew You Were Trouble,3/23/13,6
I Knew You Were Trouble,3/30/13,7
I Knew You Were Trouble,4/6/13,10
i Love It,5/11/13,9
I Love It,5/18/13,7
I Love It,5/25/13,9
I Love It,6/1/13,9
I Love It,6/8/13,7
I Love It,6/15/13,9
I Love It,6/22/13,10
I Love It,6/29/13,10
Just Give Me A Reason,3/30/13,9
Just Give Me A Reason,4/6/13,6
Just Give Me A Reason,4/13/13,5
Just Give Me A Reason,4/20/13,3
Just Give Me A Reason,4/27/13,1
Just Give Me A Reason,5/4/13,1
Just Give Me A Reason,5/11/13,1
Just Give Me A Reason,5/18/13,2
Just Give Me A Reason,5/25/13,2
Just Give Me A Reason,6/1/13,2
Just Give Me A Reason,6/8/13,2
Just Give Me A Reason,6/15/13,4
Just Give Me A Reason,6/22/13,7
Just Give Me A Reason,6/29/13,7
Just Give Me A Reason,7/6/13,10
Let Her Go,12/7/13,10
Let Her Go,12/21/13,9
Let Her Go,12/28/13,9
Locked Out Of Heaven,1/5/13,1
Locked Out Of Heaven,1/12/13,1
Locked Out Of Heaven,1/19/13,1
Locked Out Of Heaven,1/26/13,1
Locked Out Of Heaven,2/2/13,2
Locked Out Of Heaven,2/9/13,2
Locked Out Of Heaven,2/16/13,2
Locked Out Of Heaven,2/23/13,2
Locked Out Of Heaven,3/2/13,7
Locked Out Of Heaven,3/9/13,9
Locked Out Of Heaven,3/16/13,9
Locked Out Of Heaven,3/23/13,10
Love Me,3/9/13,10
Love Me,3/23/13,9
Love Me,3/30/13,10
Love Me,4/6/13,9
Love Somebody,8/17/13,10
Love Somebody,8/24/13,10
Mirrors,4/27/13,7
Mirrors,5/4/13,7
Mirrors,5/11/13,5
Mirrors,5/18/13,3
Mirrors,5/25/13,3
Mirrors,6/1/13,3
Mirrors,6/8/13,3
Mirrors,6/15/13,2
Mirrors,6/22/13,4
Mirrors,6/29/13,5
Mirrors,7/6/13,7
Mirrors,7/13/13,7
Mirrors,7/20/13,7
Mirrors,7/27/13,9
Mirrors,8/3/13,10
One More Night,1/5/13,7
One More Night,1/12/13,8
One More Night,1/19/13,9
Radioactive,4/13/13,7
Radioactive,5/11/13,10
Radioactive,5/18/13,8
Radioactive,5/25/13,8
Radioactive,6/1/13,8
Radioactive,6/8/13,9
Radioactive,6/15/13,8
Radioactive,6/22/13,6
Radioactive,6/29/13,4
Radioactive,7/6/13,3
Radioactive,7/13/13,4
Radioactive,7/20/13,4
Radioactive,7/27/13,4
Radioactive,8/3/13,3
Radioactive,8/10/13,4
Radioactive,8/17/13,3
Radioactive,8/24/13,3
Radioactive,8/31/13,4
Radioactive,9/7/13,5
Radioactive,9/14/13,9
Rap God,11/2/13,7
Roar,8/31/13,2
Roar,9/7/13,2
Roar,9/14/13,1
Roar,9/21/13,1
Roar,9/28/13,2
Roar,10/5/13,2
Roar,10/12/13,2
Roar,10/19/13,2
Roar,10/26/13,3
Roar,11/2/13,2
Roar,11/9/13,2
Roar,11/16/13,4
Roar,11/23/13,4
Roar,11/30/13,5
Roar,12/7/13,7
Roar,12/14/13,9
Royals,9/14/13,8
Royals,9/21/13,3
Royals,9/28/13,3
Royals,10/5/13,3
Royals,10/12/13,1
Royals,10/19/13,1
Royals,10/26/13,1
Royals,11/2/13,1
Royals,11/9/13,1
Royals,11/16/13,1
Royals,11/23/13,1
Royals,11/30/13,1
Royals,12/7/13,1
Royals,12/14/13,3
royals,12/21/13,4
Royals,12/28/13,5
Safe And Sound,8/17/13,9
Safe And Sound,8/24/13,9
Safe And Sound,8/31/13,10
Safe And Sound,9/7/13,8
Safe And Sound,9/21/13,9
Safe And Sound,10/5/13,10
Say Something,12/14/13,10
Say Something,12/21/13,8
Say Something,12/28/13,4
Scream & Shout,1/19/13,8
Scream & Shout,1/26/13,6
Scream & Shout,2/2/13,6
Scream & Shout,2/9/13,5
Scream & Shout,2/16/13,3
Scream & Shout,2/23/13,3
Scream & Shout,3/2/13,4
Scream & Shout,3/9/13,5
Scream & Shout,3/16/13,7
Scream & Shout,3/23/13,8
Scream & Shout,3/30/13,8
Started From The Bottom,3/2/13,10
Started From The Bottom,3/9/13,6
Started From The Bottom,3/16/13,6
Started From The Bottom,3/23/13,7
Started From The Bottom,3/30/13,6
Started From The Bottom,4/6/13,7
Started From The Bottom,4/13/13,8
Started From The Bottom,4/20/13,9
Started From The Bottom,4/27/13,9
Started From The Bottom,5/4/13,10
Stay,3/2/13,3
Stay,3/9/13,7
Stay,3/16/13,5
Stay,3/23/13,4
Stay,3/30/13,5
Stay,4/6/13,5
Stay,4/13/13,6
Stay,4/20/13,4
Stay,4/27/13,4
Stay,5/4/13,6
Stay,5/11/13,3
Stay,5/18/13,4
Stay,5/25/13,5
Stay,6/1/13,5
Stay,6/8/13,8
Stay,6/15/13,10
Story Of My Life,11/16/13,6
Story Of My Life,12/14/13,8
Story Of My Life,12/28/13,10
Suit & Tie,2/2/13,4
Suit & Tie,2/23/13,8
Suit & Tie,3/2/13,9
Suit & Tie,3/9/13,8
Suit & Tie,3/16/13,8
Suit & Tie,3/23/13,5
Suit & Tie,3/30/13,4
Suit & Tie,4/6/13,3
Suit & Tie,4/13/13,3
Suit & Tie,4/20/13,5
Suit & Tie,4/27/13,6
Suit & Tie,5/4/13,8
Suit & Tie,5/11/13,7
Summertime Sadness (Cedric Gervais Remix),9/7/13,9
Summertime Sadness (Cedric Gervais Remix),9/14/13,10
Summertime Sadness (Cedric Gervais Remix),9/21/13,6
Summertime Sadness (Cedric Gervais Remix),9/28/13,10
Summertime Sadness (Cedric Gervais Remix),10/5/13,9
Summertime Sadness (Cedric Gervais Remix),10/12/13,10
Summertime Sadness (Cedric Gervais Remix),10/19/13,10
Summertime Sadness (Cedric Gervais Remix),10/26/13,10
Sweet Nothing,2/16/13,10
The Fox,10/12/13,8
The Fox,10/19/13,6
The Fox,10/26/13,6
The Fox,11/2/13,6
The Fox,11/9/13,10
The Monster,11/16/13,3
The Monster,11/23/13,2
The Monster,11/30/13,2
The Monster,12/7/13,2
The Monster,12/14/13,2
The Monster,12/21/13,1
The Monster,12/28/13,1
The Way,4/13/13,10
The Way,6/22/13,9
The Way,6/29/13,9
The Way,7/13/13,10
Thrift Shop,1/5/13,10
Thrift Shop,1/12/13,10
Thrift Shop,1/19/13,5
Thrift Shop,1/26/13,2
Thrift Shop,2/2/13,1
Thrift Shop,2/9/13,1
Thrift Shop,2/16/13,1
Thrift Shop,2/23/13,1
Thrift Shop,3/2/13,2
Thrift Shop,3/9/13,2
Thrift Shop,3/16/13,2
Thrift Shop,3/23/13,2
Thrift Shop,3/30/13,2
Thrift Shop,4/6/13,1
Thrift Shop,4/13/13,1
Thrift Shop,4/20/13,2
Thrift Shop,4/27/13,2
Thrift Shop,5/4/13,3
Thrift Shop,5/11/13,4
Thrift Shop,5/18/13,6
Thrift Shop,5/25/13,7
Timber,11/30/13,10
Timber,12/7/13,8
Timber,12/14/13,4
Timber,12/21/13,2
Timber,12/28/13,2
Treasure,7/6/13,8
Treasure,7/13/13,8
Treasure,7/20/13,8
Treasure,7/27/13,7
Treasure,8/3/13,5
Treasure,8/10/13,6
Treasure,8/17/13,7
Treasure,8/24/13,7
Treasure,8/31/13,8
Try,2/16/13,9
Wake Me Up,9/7/13,7
Wake Me Up,9/14/13,7
Wake Me Up,9/21/13,5
Wake Me Up,9/28/13,5
Wake Me Up,10/5/13,4
Wake Me Up,10/12/13,5
Wake Me Up,10/19/13,4
Wake Me Up,10/26/13,4
Wake Me Up,11/2/13,4
Wake Me Up,11/9/13,4
Wake Me Up,11/16/13,5
Wake Me Up,11/23/13,5
Wake Me Up,11/30/13,4
Wake Me Up,12/7/13,5
Wake Me Up,12/14/13,6
Wake Me Up,12/21/13,6
Wake Me Up,12/28/13,7
We Can't Stop,7/6/13,5
We Can't Stop,7/13/13,3
We Can't Stop,7/20/13,3
We Can't Stop,7/27/13,3
We Can't Stop,8/3/13,2
We Can't Stop,8/10/13,3
We Can't Stop,8/17/13,2
We Can't Stop,8/24/13,2
We Can't Stop,8/31/13,3
We Can't Stop,9/7/13,3
We Can't Stop,9/14/13,4
When I Was Your Man,2/23/13,9
When I Was Your Man,3/2/13,8
When I Was Your Man,3/9/13,3
When I Was Your Man,3/16/13,3
When I Was Your Man,3/23/13,3
When I Was Your Man,3/30/13,3
When I Was Your Man,4/6/13,4
When I Was Your Man,4/13/13,2
When I Was Your Man,4/20/13,1
When I Was Your Man,4/27/13,3
When I Was Your Man,5/4/13,4
When I Was Your Man,5/11/13,6
When I Was Your Man,5/18/13,5
When I Was Your Man,5/25/13,4
When I Was Your Man,6/1/13,4
When I Was Your Man,6/8/13,10
Wrecking Ball,9/28/13,1
Wrecking Ball,10/5/13,1
Wrecking Ball,10/12/13,3
Wrecking Ball,10/19/13,3
Wrecking Ball,10/26/13,2
Wrecking Ball,11/2/13,3
Wrecking Ball,11/9/13,3
Wrecking Ball,11/16/13,2
Wrecking Ball,11/23/13,3
Wrecking Ball,11/30/13,3
Wrecking Ball,12/7/13,3
Wrecking Ball,12/14/13,1
Wrecking Ball,12/21/13,5
Wrecking Ball,12/28/13,8